URL,Size (bytes),Outgoing Links,Content Type
https://www.nytimes.com/2021/09/07/t-magazine/veronique-nichanian-hermes.html,466232,56,text/html
https://www.nytimes.com/ca/section/t-magazine/travel,566508,101,text/html
https://www.nytimes.com/2021/09/06/t-magazine/flowers-food-cooking.html,427744,55,text/html
https://www.nytimes.com/issue/t-magazine/2021/03/05/ts-march-7-mens-fashion-issue,380209,60,text/html
https://www.nytimes.com/issue/t-magazine/2021/08/09/ts-aug-22-womens-fashion-issue,460689,75,text/html
https://www.nytimes.com/2021/09/06/t-magazine/adam-chanler-berat-gossip-girl.html,352155,46,text/html
https://www.nytimes.com/2021/09/08/t-magazine/mens-suits-fall-fashion.html,372696,56,text/html
https://www.nytimes.com/international/section/t-magazine,644523,121,text/html
https://www.nytimes.com/2021/09/09/t-magazine/black-recovery-sobriety-addiction.html,469033,74,text/html
https://www.nytimes.com/2021/09/01/t-magazine/julian-schnabel-van-gogh.html,350104,44,text/html
https://www.nytimes.com/video/t-magazine/food/100000007940472/cooking-class-fanny-singer.html,1048576,104,text/html
https://www.nytimes.com/issue/t-magazine/2021/09/03/ts-sept-12-mens-fashion-issue,391408,64,text/html
https://www.nytimes.com/2021/09/13/t-magazine/piraeus-greece-athens-art.html,387423,45,text/html
https://www.nytimes.com/interactive/2021/04/12/t-magazine/culture-issue-friendship.html,221127,102,text/html
https://www.nytimes.com/ca/section/t-magazine/food,550672,100,text/html
https://www.nytimes.com/2021/09/08/t-magazine/tailoring-mens-fall-fashion.html,389913,59,text/html
https://www.nytimes.com/2020/10/02/health/trump-antibody-treatment.html,454170,66,text/html
https://www.nytimes.com/2020/09/06/health/coronavirus-rapid-test.html,414348,63,text/html
https://www.nytimes.com/2020/10/02/us/politics/trump-covid.html,508318,80,text/html
https://www.nytimes.com/2020/07/14/health/coronavirus-hair-salon-masks.html,382018,74,text/html
https://www.nytimes.com/by/jonathan-corum,363295,52,text/html
https://www.nytimes.com/2020/09/28/health/trump-coronavirus-testing-rapid.html,386986,56,text/html
https://www.nytimes.com/2020/07/27/health/coronavirus-mask-protection.html,397581,85,text/html
https://www.nytimes.com/interactive/2020/04/23/upshot/five-ways-to-monitor-coronavirus-outbreak-us.html,495560,152,text/html
https://www.nytimes.com/2021/03/06/world/americas/brazil-covid-bolsonaro-nasal-spray.html,502293,79,text/html
https://www.nytimes.com/2020/09/03/world/covid-coronavirus.html?searchResultPosition=2,1048576,122,text/html
https://www.nytimes.com/2020/06/16/world/europe/dexamethasone-coronavirus-covid.html?searchResultPosition=5,456827,57,text/html
https://www.nytimes.com/2020/07/20/world/covid-19-treatment-synairgen-interferon-beta.html,389916,54,text/html
https://www.nytimes.com/2020/10/12/health/coronavirus-monoclonal-antibodies-trump.html,561319,93,text/html
https://www.nytimes.com/2020/05/18/us/politics/trump-hydroxychloroquine-covid-coronavirus.html,413089,59,text/html
https://www.nytimes.com/2020/09/16/health/coronavirus-drug-eli-lilly.html,413232,52,text/html
https://www.nytimes.com/2020/04/26/health/coronavirus-patient-ventilator.html,614559,47,text/html
https://www.nytimes.com/interactive/2020/03/11/science/how-coronavirus-hijacks-your-cells.html,188730,56,text/html
https://www.nytimes.com/2020/04/24/us/politics/trump-inject-disinfectant-bleach-coronavirus.html,438942,57,text/html
https://www.nytimes.com/2020/04/06/us/politics/coronavirus-trump-malaria-drug.html,477198,65,text/html
https://www.nytimes.com/2020/11/09/health/covid-antibody-treatment-eli-lilly.html,419875,62,text/html
https://www.nytimes.com/2020/05/23/health/coronavirus-remdesivir.html,358387,51,text/html
https://www.nytimes.com/2020/05/13/health/coronavirus-proning-lungs.html,428620,49,text/html
https://www.nytimes.com/2020/11/19/health/remdesivir-covid-19.html,360195,56,text/html
https://www.nytimes.com/es/interactive/2020/science/coronavirus-tratamientos-curas.html,282671,252,text/html
https://www.nytimes.com/live/2021/08/20/world/covid-delta-variant-vaccine/astrazenecas-antibody-drug-could-protect-people-with-weakened-immune-systems-a-study-shows,1048576,196,text/html
https://www.nytimes.com/2020/10/22/us/remdesivir-fda-approved.html,326370,51,text/html
https://www.nytimes.com/2020/06/15/health/fda-hydroxychloroquine-malaria.html,420501,60,text/html
https://www.nytimes.com/2020/11/21/health/regeneron-covid-antibodies-trump.html,420221,62,text/html
https://www.nytimes.com/2021/01/06/health/convalescent-plasma-covid.html,359348,62,text/html
https://www.nytimes.com/2020/10/22/us/remdesivir-fda-approved.html?searchResultPosition=1,325888,52,text/html
https://www.nytimes.com/2020/06/03/health/hydroxychloroquine-coronavirus-trump.html,401944,54,text/html
https://www.nytimes.com/2021/04/17/health/covid-convalescent-plasma.html?searchResultPosition=3,579182,67,text/html
https://www.nytimes.com/2020/07/09/health/regeneron-monoclonal-antibodies.html,502456,62,text/html
https://www.nytimes.com/article/copper-coronavirus-masks.html,450258,81,text/html
https://www.nytimes.com/2020/06/24/health/coronavirus-dexamethasone.html?searchResultPosition=2,369879,55,text/html
